master_metadata_album_artist_name,artist_genre
MGMT,indie
Thin Lizzy,classic rock
Rufus Wainwright,chamber pop
Lily Allen,unknown
Ed Sheeran,soft pop
Kevo DJ,rkt
Los Tipitos,argentine rock
Rusted Root,unknown
Steve Vai,unknown
Stevie Wonder,motown
Heldeus,slap house
Paul Desmond,cool jazz
Cheryl Freeman,unknown
The Gap Band,quiet storm
Sheryl Crow,unknown
Uncle Walt's Band,americana
Adam Neely,unknown
St. Vincent,art pop
Martin Garrix,edm
Adele,soft pop
Bell Biv DeVoe,new jack swing
Barbi Recanati,latin indie
Nat King Cole,christmas
El Mató a un Policía Motorizado,argentine rock
Falco,neue deutsche welle
Miguel Mateos - Zas,rock en español
Roxette,unknown
Dizzy Gillespie,bebop
Nicki Minaj,unknown
Iron Maiden,heavy metal
Chayanne,latin pop
Marama,cumbia
Blaster DJ,guaracha
Gustavo Cerati,argentine rock
Seal,unknown
Meghan Trainor,unknown
Arrested Development,unknown
The Righteous Brothers,unknown
The Dave Brubeck Quartet,jazz
Capital Cities,unknown
Usted Señalemelo,latin indie
Dave Weckl,jazz fusion
Luis Miguel,mariachi
Jesse & Joy,latin pop
Gary Jules,unknown
Jean Knight,motown
Panic! At The Disco,emo
Detroit Rock Hitters,unknown
Billie Eilish,unknown
Donna Murphy,unknown
Miguel Mateos,rock en español
The Cannonball Adderley Quintet,hard bop
Pearl Jam,grunge
Papando Moscas,lullaby
Creedence Clearwater Revival,classic rock
The Fabulous Thunderbirds,blues rock
Blitz,brazilian rock
Nestor En Bloque,cumbia
Emilia,argentine trap
Chumbawamba,unknown
Airbag,argentine rock
Spinetta Y Los Socios Del Desierto,argentine rock
Bonnie Tyler,unknown
John Denver,folk
Collective Soul,post-grunge
Lynyrd Skynyrd,southern rock
Ab-Soul,unknown
Los Wachiturros,turreo
Desireless,unknown
Nek,rock en español
Peter Bjorn and John,indie
Neo Pistea,argentine trap
The Mission,deathrock
John Williams,soundtrack
Sub Urban,unknown
Rodrigo Amarante,nova mpb
The Bolshoi,new wave
MIKA,unknown
Murray Gold,soundtrack
Nicky Jam,reggaeton
Kaleb Di Masi,rkt
Taylor Swift,unknown
Juanes,latin pop
Sak Noel,moombahton
Spin Doctors,unknown
La Torre,argentine rock
CeeLo Green,unknown
Justin Bieber,unknown
Rod Stewart,soft rock
Sie7e,spanish-language reggae
Dr. Dre,g-funk
Attaque 77,argentine rock
Clean Bandit,unknown
Ricardo Mollo,argentine rock
Annie Lennox,synthpop
Sly & The Family Stone,motown
Kanye West,rap
Dexys Midnight Runners,unknown
Death From Above 1979,modern rock
Tame Impala,indie
Charlie Puth,soft pop
Madness,ska
Chick Corea,jazz fusion
One Direction,unknown
Fine Young Cannibals,unknown
A Taste Of Honey,disco
Pedro Y Pablo,argentine rock
Clifford Brown,hard bop
Robbie Williams,unknown
The Clash,punk
The Supremes,motown
Noriel,trap latino
Sumo,argentine rock
The Killers,alternative rock
Bill Withers,soul
Desiigner,unknown
Phil Collins,soft rock
Jackie Wilson,northern soul
Blue Swede,unknown
Kendrick Lamar,hip hop
El Villano,cumbia
The Doors,psychedelic rock
Soundgarden,grunge
Bhavi,argentine trap
INXS,unknown
Soft Cell,synthpop
Mancha De Rolando,argentine rock
APM Mother's Day Ensemble,unknown
Mike Posner,unknown
Lipps Inc.,disco
DJ Khaled,unknown
El Reja,cumbia
Papu DJ,rkt
Frankie Goes To Hollywood,synthpop
Los Bonnitos,cumbia
Idealism,lo-fi
Flughand,lo-fi
Madonna,unknown
Invisible,argentine rock
Ivana Spagna,italo disco
Diego Torres,latin pop
Ratones Paranoicos,argentine rock
Bibio,downtempo
Vicentico,argentine rock
The Bangles,jangle pop
Fugees,east coast hip hop
Pretenders,unknown
CNCO,reggaeton
Alphaville,synthpop
Joe Henderson,hard bop
Alanis Morissette,unknown
Rush,progressive rock
Glenn Close,unknown
Bequem,unknown
El negro tecla,rkt
TypeHeat,unknown
Ramones,punk
Dwayne Johnson,unknown
Yes,progressive rock
Frank Sinatra,christmas
Skrillex,dubstep
Las Culisueltas,cumbia
Los Violadores,latin rock
DJ Shadow,trip hop
The Soundtrack Studio Stars,unknown
John La Barbera Big Band,big band
Luis Ángel Gómez Jaramillo,unknown
Travie McCoy,unknown
Sebastian Yatra,colombian pop
Ghost Town DJs,miami bass
Scissor Sisters,unknown
Internet Money,unknown
Eric Johnson,unknown
Fountains Of Wayne,power pop
Beyoncé,unknown
Lil Eazzyy,unknown
KAYTRANADA,unknown
Ronald Reggae,reggae
Fleetwood Mac,classic rock
Paul Landry,new age
Hippie Sabotage,unknown
Junona Boys,slap house
Lenny Kravitz,unknown
Smokie,glam rock
Donna Summer,disco
Mr. Probz,unknown
Johannes Bornlöf,unknown
Dead Or Alive,hi-nrg
Avicii,edm
Studio Allstars,unknown
LP Giobbi,house
John Coltrane,jazz
Isaac Hayes,soul
The Jacksons,disco
Rae Sremmurd,unknown
Michael Sembello,unknown
Fer Palacio,rkt
The Who,classic rock
The Doobie Brothers,classic rock
Electric Light Orchestra,symphonic rock
KC & The Sunshine Band,disco
Twisted Sister,glam metal
Samuel E. Wright,unknown
High School Musical Cast,unknown
Spinetta Jade,argentine rock
The Buggles,unknown
Ray Charles,jazz blues
Aretha Franklin,soul
Zoe Gotusso,latin indie
Rick James,funk
Max Graef,jazz house
Johnny Nash,unknown
Eric Prydz,unknown
Lil Wayne,rap
The Smiths,new wave
guardin,emo rap
Miles Davis,jazz
Smash Mouth,unknown
Limahl,synthpop
Piero,trova
Kool & The Gang,disco
Etta James,soul
LOUTA,argentine trap
BIG MAKK,moombahton
Boston,classic rock
Black Sabbath,metal
Martha Reeves & The Vandellas,motown
Snarky Puppy,jazz fusion
Harry Styles,unknown
Erasure,synthpop
KSHMR,big room
Nirvana,grunge
Nio Garcia,reggaeton
November,unknown
Kygo,tropical house
Meter Mobb,unknown
Andy Timmons,unknown
Miley Cyrus,unknown
Julie Andrews,musicals
Roy Orbison,rockabilly
Antonio Vivaldi,classical
Matt Simons,unknown
Alcides,cuarteto
Diego Ruiz,argentine rock
Bruce Hornsby,
New Radicals,unknown
The Deli,lo-fi
Jonas Blue,tropical house
Paul McCartney,unknown
Howard Jones,new wave
Jack Stauber,unknown
Ozuna,reggaeton
Charly Black,dancehall
Cheat Codes,unknown
Chuck Berry,rockabilly
Kansas,classic rock
KISS,glam metal
Men Without Hats,synthpop
Huey Lewis & The News,unknown
The Family,disco
Kevin Kiner,soundtrack
Goldspot,unknown
Train,soft pop
Duck Sauce,disco house
Dj Jules,vaporwave
Leon Haywood,unknown
Franz Ferdinand,indie rock
Oscar Peterson,jazz
R3HAB,slap house
The Knack,power pop
Catupecu Machu,argentine rock
DNCE,unknown
David Bowie,glam rock
Run–D.M.C.,east coast hip hop
Masego,unknown
Nina Simone,vocal jazz
Gary Moore,blues
Ella Es Tan Cargosa,argentine rock
Halconizados de Amor,cumbia
Ella Fitzgerald,vocal jazz
Peter La Anguila,unknown
Solomon Burke,soul
Steve Lacy,unknown
American Authors,unknown
Ozzy Osbourne,metal
The Rembrandts,unknown
Coolio,west coast hip hop
Sam Rollins,unknown
5 Seconds of Summer,unknown
The Pointer Sisters,disco
Tiago PZK,argentine trap
George Michael,unknown
Ben L'Oncle Soul,jazz blues
Four Tops,motown
Juice Newton,unknown
Soulja Boy,unknown
I'm Blue,unknown
Susan Egan,unknown
The Verve,britpop
Eric Clapton,blues
Farruko,reggaeton
Otis McDonald,jazz funk
Willy Crook,unknown
John Travolta,musicals
Y2K,unknown
PRETTYMUCH,unknown
Los Siete Delfines,argentine rock
The Notorious B.I.G.,gangster rap
Eladio Carrion,trap latino
Blur,britpop
The Foundations,unknown
Irene Cara,unknown
Perras on the beach,latin indie
Travis Scott,rap
HUTS,slap house
Jason Derulo,unknown
Vaundy,j-pop
The Temptations,motown
a-ha,new wave
Dionne Warwick,unknown
DJ Tao,rkt
Ben E. King,unknown
G-Eazy,unknown
Arjun Kaul,unknown
Kaiser Chiefs,britpop
Dirty Loops,jazz funk
João Gilberto,bossa nova
Moray Pringle,math rock
J Alvarez,reggaeton
Gorillaz,unknown
Jaco Pastorius,jazz fusion
Alesso,edm
WWE,unknown
Ana Mena,unknown
Aminé,unknown
Happy Mondays,madchester
Jimmy Buffett,unknown
Laid Back,unknown
Kenny Rogers,country
Shokk,meme rap
Rusherking,argentine trap
The Vamps,unknown
#TocoParaVos,cumbia
Run The Jewels,hip hop
Fall Out Boy,emo
Neil Diamond,unknown
Paco Amoroso,unknown
Katy Perry,pop
Romeo Santos,bachata
Super Simple Songs,children's music
Jesse MacLeod,unknown
Masked Wolf,unknown
Freddie Dredd,phonk
Otis Redding,soul
Guthrie Govan,jazz fusion
The Wailers,reggae
SAINt JHN,unknown
Maxi Trusso,unknown
The Rock Band,unknown
Midnight Oil,surf rock
The Kinks,proto-punk
The Human League,new wave
The Kooks,indie
Alejandro Lerner,argentine rock
Rooftops,math rock
Eddie Floyd,soul
The Strokes,garage rock
The Animals,classic rock
Destino Clan,unknown
potsu,lo-fi
The Axis of Awesome,comedy
La Quinta Estacion,latin pop
