master_metadata_album_artist_name,artist_genre
Tom Walker,unknown
Cutting Crew,unknown
Traumton,lounge
MC Kevinho,funk
Angelica Vale,unknown
Los Totora,cumbia
El Italiano,argentine trap
De La Ghetto,reggaeton
Flo Rida,unknown
Nick Johnston,djent
Illya Kuryaki & The Valderramas,rock en español
Tomas Chris,indie rock
The Soul Sensation,unknown
Tommy Tutone,unknown
EMF,madchester
Ne-Yo,unknown
The Communards,hi-nrg
ScHoolboy Q,unknown
Neil Zaza,unknown
D-Enyel,reggaeton
Rels B,urbano latino
Arthur Conley,northern soul
Locura Mix,rkt
The Pioneers,rocksteady
BENEE,unknown
The Jamaican Reggae Boys,unknown
Cruzando El Charco,argentine rock
Kempi,unknown
Disney Kids Band,unknown
DJ Yayo,rkt
Pappo's Blues,argentine rock
Carlos Rivera,latin pop
MC's Jhowzinho & Kadinho,funk
David Lee Roth,glam metal
Mala Rodríguez,latin hip hop
Edward Elgar,classical
The Contours,motown
El Gran Silencio,rock en español
Grupo Play,cumbia
Claire Rosinkranz,unknown
RuthAnne,unknown
Rauw Alejandro,reggaeton
Old Man Saxon,unknown
King's X,funk rock
Roxy Music,glam rock
The Presidents Of The United States Of America,grunge
Billy Eichner,unknown
Screen Jazzmaster,lo-fi beats
Jim Horn,unknown
Mary Costa,unknown
Zara Larsson,unknown
Grand Funk Railroad,classic rock
LIT killah,argentine trap
Lee Morgan,hard bop
Roger Bart,unknown
Nico & Vinz,unknown
Cher,unknown
Cavetown,bedroom pop
Fastball,unknown
Vitamin String Quartet,orchestra
LUM!X,slap house
Level 42,synthpop
SZA,r&b
The Band,folk rock
Macklemore,unknown
Tokischa,dembow
Urge Overkill,unknown
De Jeugd Van Tegenwoordig,nederpop
Sofi de la Torre,unknown
Los Dug Dug's,mexican rock
New Order,new wave
Jonah Nilsson,unknown
Los Nemus Del Pacifico,salsa
BJ The Chicago Kid,neo soul
Wild Cherry,unknown
Lucky Luciano,latin hip hop
K'NAAN,unknown
Gilberto Gil,mpb
Robin Schulz,tropical house
Chico Rose,slap house
Oscar D'León,salsa
Joe Cocker,unknown
The Lost Fingers,swing music
The Romantics,power pop
Racer X,speed metal
Nonpalidece,spanish-language reggae
Alicia Keys,r&b
Dj Lauuh,rkt
ZZ Top,southern rock
Viejas Locas,argentine rock
Ulises Bueno,cuarteto
Super Yei,reggaeton
NAFTA,unknown
DJ Top Gun,unknown
Phay,unknown
Danny Ocean,reggaeton
The Gregg Allman Band,southern rock
DJ Luc14no Antileo,rkt
Kristofer Maddigan,soundtrack
The Bar-Kays,funk
Ivan Noble,argentine rock
KEVIN ROLDAN,reggaeton
The Lonely Island,comedy
Los Gatos,argentine rock
Funkadelic,funk rock
Coti,argentine rock
John Paesano,soundtrack
KAROL G,reggaeton
Bakar,unknown
Swedish House Mafia,edm
Plini,djent
Fandom,unknown
Litto Nebbia,argentine rock
TV Theme Song Library,unknown
Sonido De La Costa,cumbia
Orquesta Ritmo De Sabanas,unknown
Gal Costa,mpb
[bsd.u],lo-fi
Free Nationals,unknown
Louis Tomlinson,unknown
Pimp Flaco,unknown
NATTI NATASHA,reggaeton
James Marsden,musicals
eery,lo-fi
Steve Petrunak,unknown
Peter Frampton,classic rock
Shotgun Willy,meme rap
Los Bunkers,latin rock
to-be,unknown
Backstreet Boys,unknown
The Surrealist,math rock
Pete Rodriguez,cha cha cha
TheFatRat,unknown
eevee,lo-fi
Don Osvaldo,argentine rock
Clairo,bedroom pop
King Crimson,progressive rock
Charly García & The Prostitution,unknown
standards,math rock
Reykon,reggaeton
King Kobra,album rock
Olly Murs,unknown
Tchakabum,axé
Bob Dylan,folk rock
Shakira,latin pop
The Fray,unknown
Young Martino,trap latino
Ricky Martin,latin pop
Peter Tosh,reggae
Los Latinos,unknown
Darell,reggaeton
Selena Gomez,pop
2CELLOS,unknown
The Last Shadow Puppets,baroque pop
Hippo Campus,unknown
Ryan,unknown
Axel Black & White,unknown
No Doubt,unknown
Klezmer Music,unknown
Arcángel,reggaeton
Blood Orange,art pop
Kim Wilde,unknown
Joel Corry,dance pop
Sushisingz,unknown
ACRAZE,tech house
Django Reinhardt,swing music
Tony Dize,reggaeton
The Moody Blues,progressive rock
The Crimson Big Movie Orchestra,unknown
ROSALÍA,latin
Lea Salonga,unknown
Nena,neue deutsche welle
Jennifer Lopez,unknown
DEVO,new wave
Mariah Carey,christmas
Joe Walsh,classic rock
Dabeull,nu disco
Band Of One,unknown
Los Musiqueros,lullaby
C. Tangana,unknown
Kali Uchis,unknown
Rainy Mood,unknown
Wet Wet Wet,unknown
La 25,argentine rock
Dame 5,cumbia
Logic,unknown
Luck Ra,cuarteto
Nappy Roots,southern hip hop
Simply Red,unknown
Disturbing Tha Peace,unknown
Jerry Herman,musicals
Barry White,disco
Jósean Log,mexican indie
Nathan Lane,unknown
Motörhead,heavy metal
My Chemical Romance,emo
Poolside,nu disco
Athletic Progression,nu jazz
Shawn Lane,jazz fusion
Los Claxons,unknown
Modjo,french house
Zato DJ,turreo
Muddy Waters,blues
Bobby McFerrin,unknown
NIVEK,hypertechno
Israel Kamakawiwo'ole,unknown
Agapornis,cumbia
Roberto Goyeneche,tango
Nara Leão,bossa nova
Rex Orange County,bedroom pop
Mario,r&b
Julio Sosa,tango
Keith David,unknown
Sonic Scenario,unknown
Herbie Hancock,jazz
Predu2k,unknown
Philip Glass,minimalism
glophia,unknown
Shaun Martin,jazz fusion
Gnarls Barkley,unknown
The Brothers Johnson,disco
Oingo Boingo,new wave
Peteco Carabajal,folklore argentino
Earthquake Lights,unknown
James Monroe Iglehart,musicals
blameF,unknown
Dmitri Shostakovich,classical
Smino,unknown
Celeste Carballo,argentine rock
Blake Mills,unknown
Abril Chiro,unknown
Tavares,disco
Culture Club,unknown
Bryan Ferry,glam rock
Aloe Blacc,unknown
Taiu,argentine trap
Grupo Niche,salsa
Haddaway,eurodance
The Offspring,punk
Dizzy Gillespie Quintet,bebop
James Brown & The Famous Flames,unknown
Denzel Curry,punk rap
Kraak & Smaak,nu disco
Mueka,trap latino
Pedro Capó,latin pop
Geto Boys,southern hip hop
Big Mountain,reggae
Dr. Hook,unknown
SoulChef,jazz rap
Live,post-grunge
Los Leyenda Valdés,cumbia
Sech,reggaeton
Yo Gotti,memphis rap
Whethan,unknown
Pregnant Boy,unknown
Jonathan Ansell,unknown
Nohidea,lo-fi
Scott Walker,baroque pop
Joni Mitchell,folk
Sarah McLachlan,unknown
JID,unknown
Buknas De Culiacan,corrido
MC's Zaac,funk
Fools Garden,unknown
KHEA,argentine trap
Fran Argiro,unknown
lilac frog,unknown
Carlitos Rossy,reggaeton
System Of A Down,nu metal
Don McLean,unknown
Ditter,unknown
London Voices,unknown
The Whitest Boy Alive,unknown
The Staple Singers,soul
Kelly Valleau,unknown
The Aristocrats,jazz fusion
The Script,unknown
Carlos Gardel,tango
L.A. Guns,glam metal
Michelle Pfeiffer,musicals
Pyotr Ilyich Tchaikovsky,classical
GAYLE,unknown
Tom Petty,classic rock
BØRNS,unknown
Michael Amani,unknown
Carlos Baute,latin pop
Brother Strut,jazz funk
Residente,latin hip hop
Maria Becerra,argentine trap
SR,uk drill
Damian Oliver,unknown
Perotá Chingó,latin folk
DMX,east coast hip hop
Drew Seeley,unknown
Justin Quiles,reggaeton
Accept,heavy metal
Gipsy Kings,flamenco
Don Patricio,unknown
elinex,unknown
M|O|O|N,synthwave
Bacilos,colombian pop
The Magic Gang,unknown
Phillip Phillips,folk pop
Serengeti,experimental hip hop
MARINA,unknown
Cyndi Lauper,unknown
León Gieco,argentine rock
CORBAL,unknown
Rag'n'Bone Man,unknown
La Máquina Disco,unknown
Tundra Beats,lo-fi beats
Syd Barrett,psychedelic rock
Onur Atli,unknown
Mercedes Sosa,trova
Fms Arg,unknown
Vox Dei,argentine rock
Busta Rhymes,east coast hip hop
Billy Boyd,unknown
Minutemen,post-punk
Ayo & Teo,unknown
DJMashup,unknown
LOAN,unknown
Peabo Bryson,quiet storm
Edwin Starr,northern soul
Don Toliver,unknown
Keith Jarrett,jazz
Benny Golson,hard bop
Fifth Harmony,unknown
Fella,slap house
Cardi B,unknown
Liam Payne,unknown
The Frondeurs,space rock
Cheap Trick,power pop
Joji,unknown
Rodney Atkins,country
Sports,unknown
Sharon Jones & The Dap-Kings,retro soul
Lee Fields & The Expressions,retro soul
The Avalanches,unknown
Heart,classic rock
Baby Rasta & Gringo,
Juan Gabriel,mariachi
Starley,unknown
Wings,unknown
Saxon,heavy metal
David Ryan Harris,unknown
Sammy & Falsetto,reggaeton
Aluna,unknown
Chapa C,reggaeton
Wham!,christmas
Johnny Maestro & Brooklyn Bridge,doo-wop
BROCKHAMPTON,unknown
John Lee Hooker,blues
Bandalos Chinos,latin indie
Phantogram,unknown
El Kuelgue,argentine rock
Joe Jackson,new wave
Miranda Cosgrove,unknown
Alex Aster,unknown
Pop Star,unknown
B.B. King,blues
Loi,unknown
Hampton Hawes Trio,hard bop
Klangkarussell,unknown
Unknown Mortal Orchestra,psychedelic pop
Rainbow,hard rock
Kota the Friend,unknown
Ricky Montgomery,unknown
Ron Grainer,unknown
John Mellencamp,classic rock
Tujamo,unknown
Naughty Boy,unknown
Jethro Tull,progressive rock
Mitski,unknown
The Fanatics,unknown
Los Amigos Invisibles,rock en español
Theo Katzman,retro soul
Feid,reggaeton
The Zutons,unknown
Yann Tiersen,unknown
MC L da Vinte,funk de bh
La Champions Liga,cumbia
Oscu,argentine trap
Tomi DJ,rkt
 VK Blanka,
Hozier,unknown
Vangelis,new age
Richard M. Sherman,unknown
El Polaco,cumbia
Imanbek,slap house
Anita Ward,disco
Pentatonix,christmas
Victoria Beckham,uk garage
Troye Sivan,unknown
Boz Scaggs,album rock
Willie Nelson,country
PANKIDZ,hypertechno
Poylow,slap house
bbno$,meme rap
Manu Chao,latin alternative
Michael Bublé,christmas
Mick Jenkins,jazz rap
Jack Stauber's Micropop,unknown
Charli XCX,
Diana Ross,motown
Bassnectar,dubstep
Deyco,unknown
Manuel Wirzt,argentine rock
James Gang,classic rock
Michael Schenker Group,hard rock
Corbin Bleu,unknown
Gym Class Heroes,unknown
MC G15,funk
Free,classic rock
Ziggy Marley & The Melody Makers,reggae
1915,latin indie
Weste,latin indie
Milo j,argentine trap
Rick and Morty,unknown
TOBACCO,experimental hip hop
Julieta Venegas,latin pop
Stevie Nicks,unknown
Mumford & Sons,folk
La Nueva Luna,cumbia
Michael Brecker,jazz
98º,unknown
Robin Williams,comedy
Guasones,argentine rock
John Popper & The Duskray Troubadours,classic blues
Pantera,groove metal
ASKØ,unknown
Jorge Drexler,trova
Omara Portuondo,son cubano
Ty Dolla $ign,unknown
Joseph Trapanese,soundtrack
Simple Minds,new wave
Trinix,unknown
Callejero Fino,rkt
Edmundo Rivero,tango
Heatwave,disco
Raquel Rodriguez,neo soul
Jewel,unknown
Traveling Wilburys,unknown
Reggaeton Latino,reggaeton
Erroll Garner,jazz
BURNS,unknown
Psirico,pagode baiano
Ludwig Göransson,soundtrack
Gusttavo Lima,sertanejo
Chiqui Chiquititos,unknown
Crewrod,latin alternative
D'Angelo,neo soul
Leila Martin,christmas
Gesaffelstein,unknown
Mesita,rkt
Jonas Brothers,unknown
MadeinTYO,unknown
JESSIA,unknown
疗愈音律,unknown
Chick Corea Elektric Band,jazz fusion
Carly Rae Jepsen,unknown
Kodak Black,unknown
Justo Antes de la Guerra con los Esquimales,latin indie
Triple M,future house
Iggy Pop,proto-punk
Lil Boom,meme rap
Lauv,unknown
Lé Mon,lo-fi beats
jxdn,pop punk
"Spinetta, García, Ferrón",argentine rock
Marcianos Crew,argentine trap
Samuel Kim,anime
dodie,unknown
Powfu,unknown
Shakka,unknown
Curren$y,southern hip hop
Romantic Restaurant Music Crew,unknown
La Ley,rock en español
BB ASUL,neoperreo
zzoilo,latin pop
Corona,eurodance
Kungs,unknown
DJ Pirata,guaracha
Jerry Lee Lewis,rockabilly
Bobby Timmons Trio,hard bop
Mayer Hawthorne,retro soul
Toquinho,bossa nova
Cordae,unknown
Phonk Beats,brazilian phonk
Tanja Thomas,unknown
Giorgio Gee,slap house
benny blanco,unknown
Olivia Rodrigo,unknown
Guru,jazz rap
Juan Quin y Dago,cumbia
Bitman & Roban,latin indie
Thom Yorke,unknown
ACRU,latin hip hop
Noname,alternative r&b
Caroline Smith,unknown
Aviões do Forró,forró
The TV Theme Players,unknown
Rob Scallon,math rock
Brytiago,trap latino
Enur,unknown
Elvis Costello & The Attractions,new wave
KOVA,unknown
Terrace Martin Presents The Pollyseeds,nu jazz
Bahari,nightcore
Jungle Fire,latin afrobeat
AmaLee,anime
Pusho,reggaeton
America,soft rock
Pandaraps,unknown
girl in red,bedroom pop
Brooksie,unknown
Uppermost,french house
George Ezra,unknown
$uicideboy$,dark trap
DJ Jazzy Jeff & The Fresh Prince,unknown
Brusco,unknown
Iyaz,unknown
Agust1n,argentine trap
Akapellah,latin hip hop
Roosevelt,nu disco
iNi Kamoze,reggae
Stromae,french pop
Kidsongs,christmas
Martin Landh,unknown
Skegss,surf rock
Dani Ribba,argentine trap
Tank,r&b
Bass Boosted HD,bass music
Bananarama,hi-nrg
Yokomeshi,lo-fi
Marimba Man,unknown
P!nk,unknown
Los Caligaris,ska
Hr. Troels,unknown
The Mamas & The Papas,folk rock
Owl City,unknown
Cinemascore Ensemble of Pasadena,unknown
Carpenters,christmas
Velvet Revolver,grunge
Madison Beer,unknown
blink-182,pop punk
Emus DJ,cumbia
George Wilkins,unknown
Queen Latifah,musicals
Delano,funk
Molotov,rock en español
Liquid Tension Experiment,progressive metal
Chris de Burgh,soft rock
Yaviah,reggaeton
Julianne Hough,musicals
Alemán,mexican hip hop
London Symphony Orchestra,classical
Supermerk2,cumbia
Refused,hardcore punk
Fleur East,unknown
DJ Kessler,unknown
Whitney Houston,unknown
Ashnikko,unknown
Lin-Manuel Miranda,musicals
Amenazzy,trap latino
Carly Simon,unknown
Dog's Eye View,unknown
Nico Servidio DJ,turreo
Grupo Verzace,merengue
Natalie Cole,quiet storm
Majestic,unknown
DRAM,unknown
Cris Mj,reggaeton chileno
Midel,argentine trap
Sofia Mills,unknown
Eitan Masuri,unknown
Loren,argentine trap
Corta La Bocha,cumbia
Alexio,reggaeton
Ruben Rada,unknown
H.E.R.,r&b
The Forty Licks,unknown
Florence + The Machine,baroque pop
Fran Sfeir,unknown
Dalila,cumbia
Hugo Del Carril,tango
Andrea Álvarez,argentine rock
James Arthur,soft pop
John Wasson,jazz
Sungazer,jazz fusion
Edward Sharpe & The Magnetic Zeros,unknown
Warrant,glam metal
Moby,downtempo
Extreme,glam metal
Moneybagg Yo,memphis rap
Migrantes,cumbia
Luis Salinas,folklore argentino
Young Money,unknown
Leony,unknown
Les Rythmes Digitales,big beat
The Treblemakers,unknown
Nu Shooz,freestyle
Krister & Dalbani,lounge
Aaron Tveit,musicals
Billy Marchiafava,meme rap
Pond,psychedelic rock
Edith Whiskers,unknown
Papacho Mc Caco,
Glaceo,unknown
Skylar Grey,unknown
Gusty dj,rkt
"Crosby, Stills & Nash",folk rock
Pi’erre Bourne,melodic rap
Bow Wow,r&b
LIUFO,slap house
The Bamboos,jazz blues
THE ANXIETY,unknown
Frankie Valli,unknown
Woody and Jeremy,unknown
Welinton Quiw,unknown
The Roots,east coast hip hop
The Jon Spencer Blues Explosion,garage rock
j^p^n,lo-fi
Arz,uk drill
keloqz,unknown
Estrategas,cumbia
Francine Gaétane,unknown
Wheatus,unknown
Meek Mill,rap
Jowell & Randy,reggaeton
The Herbaliser,trip hop
Meredith Brooks,unknown
Sleepy Hallow,brooklyn drill
Anthony Gonzalez,unknown
Bodeans,roots rock
Pablo Chill-E,chilean trap
Dualities,unknown
Tinlicker,melodic house
Alien Ant Farm,nu metal
SUPER JUNIOR,k-pop
Poppy,unknown
Young Bull,west coast hip hop
Kiddo Toto,argentine trap
Alex Sensation,reggaeton
Jason Weaver,unknown
Roz Ryan,unknown
Topo Gigio,lullaby
Key Glock,memphis rap
The Dear Hunter,progressive rock
Eruca Sativa,argentine rock
William DeVaughn,philly soul
Kids R Us Band,unknown
Aquelarre,argentine rock
Pop Smoke,brooklyn drill
FEL!X,slap house
Mura Masa,unknown
Junior Senior,unknown
Ludovico Einaudi,neoclassical
Nine Sparks Riots,jazz funk
Bazzi,unknown
Violent Femmes,folk punk
Percy Sledge,motown
Ovy On The Drums,reggaeton
Cut Chemist,trip hop
Ten Years After,blues rock
Lynde,jazz beats
Perro Primo,rkt
Ricardo Arjona,latin pop
The Pb Underground,unknown
The Unauthorized Bash Brothers Experience,comedy
Cypress Hill,west coast hip hop
J. Cole,rap
The Winery Dogs,hard rock
The Beach Boys,baroque pop
Wang Chung,new wave
Delta Heavy,drum and bass
La Mona Jimenez,cuarteto
DJ Seba Vallejos,rkt
BØJET,lo-fi
Peter Gregson,neoclassical
Blinded Hearts,unknown
Prefab Sprout,unknown
Relaxation Jazz Academy,cool jazz
M2H,unknown
Yo.Soy.Rey,latin hip hop
The Dead Daisies,hard rock
V.I.C,unknown
Harold Melvin & The Blue Notes,philly soul
Cazzu,argentine trap
Cal Tjader,latin jazz
Felly,unknown
Uriah Heep,progressive rock
Labi Siffre,unknown
Juni Tinley,unknown
Barry Manilow,adult standards
j mena,cuarteto
DVRST,phonk
Styx,classic rock
Clearside,unknown
Blood Brothers,gabber
Mike Bahía,colombian pop
Pecun,lo-fi beats
Trio America,bolero
Sixpence None The Richer,unknown
Parcels,unknown
Handbook,lo-fi beats
The Cab,unknown
Ke Personajes,cumbia
Mikel,lo-fi
Josefus,acid rock
Liquid Liquid,post-punk
Jidanofu,drift phonk
Will Smith,unknown
Fujitsu,lo-fi beats
Yves V,slap house
Music Falcon,unknown
Marilina Bertoldi,argentine rock
Los Korucos,ska
David Gilmour,progressive rock
Maxwell,neo soul
Juan Magán,reggaeton
Abel Pintos,folklore argentino
S3BZS,phonk
Daniel Powter,unknown
Jóvenes Pordioseros,argentine rock
21 Savage,unknown
Want to Want Me,unknown
Shaggy,reggae
Danny Elfman,soundtrack
Wynton Marsalis Septet,unknown
Céline Dion,variété française
Ventino,colombian pop
Stealers Wheel,unknown
Jalen McMillan,unknown
Frank Zappa,progressive rock
Jessie J,unknown
Mambo DJ,rkt
Yami Safdie,unknown
Lunay,reggaeton
Lindsey Buckingham,unknown
Adam Hicks,unknown
Josh Richards,unknown
MKTO,unknown
Taio Cruz,unknown
Lofi.Lavito,unknown
Robert Palmer,unknown
Isaiah Rashad,unknown
Dan Hartman,disco
Sammy Hagar,glam metal
AX 13,cumbia
Jesse McCartney,unknown
Glen Campbell,unknown
The Jam,punk
Snakehips,unknown
Nine Inch Nails,industrial rock
La Sonora Yarana,unknown
Steve Aoki,electro house
The Edgar Winter Group,classic rock
Gabriel Allende,mariachi
Paco de Lucía,flamenco
Pedro Bromfman,unknown
Maria Bethânia,mpb
Laura Dreyfuss,musicals
CAKE,alternative rock
La Renga,argentine rock
Colbie Caillat,unknown
Nathan East,smooth jazz
Avishai Cohen,jazz
Young the Giant,unknown
Home,vaporwave
Miguel,r&b
Paku YK,unknown
KALUMA,unknown
your best friend jippy,unknown
Jorja Smith,unknown
Swell,unknown
The Revivalists,unknown
Love Regenerator,unknown
King Gizzard & The Lizard Wizard,psychedelic rock
Deorro,melbourne bounce
Samsa,unknown
Cantando con Adriana,lullaby
COIN,unknown
Ray J,unknown
Florian Picasso,future house
NF,christian hip hop
Prince Royce,bachata
Sarah Vaughan,vocal jazz
Stephen,unknown
Abraham Mateo,unknown
Steve ´n´ Seagulls,bluegrass
Alan Silvestri,soundtrack
G3oboy,unknown
Rei,argentine trap
Terry Riley,minimalism
Yao Cabrera,unknown
Owane,djent
Mike Perry,tropical house
Missy Elliott,hip hop
Zoé,rock en español
Reponix,unknown
Blown Speakers,jazz beats
St Germain,jazz house
Lil Memer,meme rap
Baby Keem,unknown
Donny Hathaway,soul
Gordon Goodwin's Big Phat Band,big band
Soul Asylum,alternative rock
Jay Hardway,big room
Chandler Leighton,melodic bass
Luciano Pavarotti,opera
Dimitri Vegas,unknown
Estelle,unknown
Petit Biscuit,unknown
salem ilese,unknown
2Hounds,hypertechno
TINI,latin pop
Wisin,reggaeton
The Dip,retro soul
Billy Ray Cyrus feat. Miley Cyrus,unknown
Mala Fama,cumbia
Gustavo Santaolalla,soundtrack
Slavik Pogosov,unknown
Jackson Browne,folk rock
The Drifters,doo-wop
Arcade Player,unknown
Robert Glasper,neo soul
A-Wall,bedroom pop
Dovydas,unknown
Huntingtons,punk
Basement Jaxx,big beat
The Cardigans,unknown
Elenco de Soy Luna,unknown
Lost Frequencies,tropical house
De La Calle,cumbia
Talk Talk,new wave
Anne Hathaway,musicals
Katherine Jenkins,opera
Lamar Azul,jazz rap
Patrick Carney,unknown
Party Pupils,unknown
Smokey Robinson & The Miracles,motown
Ace Frehley,glam metal
Billy Ocean,unknown
Duko,argentine trap
Eli Almic,latin hip hop
Tones And I,unknown
N.E.R.D,unknown
La Reserva,cumbia
Indio Solari,argentine rock
Britt Lari,tropical house
Death Cab for Cutie,unknown
Primus,funk rock
Crumb,psychedelic pop
Davus,unknown
Boza,reggaeton
Fitz and The Tantrums,unknown
Smoodmood,jazz beats
Dei V,trap latino
T. Rex,glam rock
Kesha,unknown
John Legend,soft pop
HM Surf,lo-fi
The Velvet Underground,proto-punk
Cami,latin pop
Mychael Danna,soundtrack
Danna Paola,unknown
Mick Jagger,unknown
Dynel,unknown
Edoardo Bennato,italian singer-songwriter
Astrud Gilberto,bossa nova
Bruses,unknown
Jimmy Somerville,hi-nrg
MC Bruninho,brega funk
Arem Ozguc,turkish pop
James Hype,house
Roddy Ricch,melodic rap
Leon Bridges,retro soul
The FifthGuys,unknown
Mak Donal,cumbia
Feeder,britpop
The Specials,ska
DJ Luian,reggaeton
Supergrass,britpop
The Big Bopper,rockabilly
Self,unknown
Buffalo Springfield,folk rock
Pariisin Kevät,finnish pop
Johann Pachelbel,unknown
Sergio Mendes & Brasil '66,bossa nova
Sir Mix-A-Lot,unknown
Enero,cumbia
Swimming Paul,stutter house
Skay Beilinson,argentine rock
Tom Odell,unknown
TOPS,unknown
Cameron Diaz,unknown
Maurice Ravel,classical
XXXTENTACION,emo rap
HAWK.,slap house
Nacho,reggaeton
The Growlers,surf rock
DrefQuila,chilean trap
Trevor Daniel,unknown
Sam Smith,soft pop
L-Gante,rkt
St. Paul & The Broken Bones,retro soul
Goran Bregović,unknown
Faces,glam rock
Sister Hazel,unknown
Limp Bizkit,nu metal
Harry Nach,chilean trap
Sin Ensayo,cumbia
Ron Gallo,garage rock
Pueblo Cafe,latin hip hop
Hoodie Allen,unknown
Big Sean,unknown
Carolyn Wonderland,blues
BAMBI,unknown
Yera,colombian pop
Angel Ceremony,unknown
Thompson Twins,new wave
Danny Berrios,christian
"Pekeño 77, Cazzu, Neo Pistea, C.R.O, Bhavi, Homer El Mero Mero, Ruben Rada",unknown
Jonathan Richman,proto-punk
Los Gardelitos,argentine rock
Phoebe Katis,unknown
Emmanuel Horvilleur,argentine rock
Bruno Coulais,unknown
James Blunt,unknown
Papichamp,rkt
Alok,brazilian bass
Focus,progressive rock
Us3,acid jazz
La Factoria,reggaeton
Raymix,cumbia sonidera
Chill Hip-Hop Beats,lo-fi
United Artists,unknown
Agus Padilla,argentine trap
Sage The Gemini,hyphy
Indigga,unknown
Mike + The Mechanics,soft rock
G-POL,future house
"Grover Washington, Jr.",soul jazz
Canto 4,folklore argentino
CKay,afrobeats
Kardinal Offishall,unknown
Linval Thompson,roots reggae
Alex Army Aiono,unknown
Hello Moonlight,unknown
DayBright,unknown
Material,post-disco
Hombres G,rock en español
half•alive,unknown
Sandra Mihanovich,argentine rock
ArrDee,uk drill
MASN,unknown
Busty and the Bass,retro soul
Hercules & Love Affair,unknown
Mellow dive,lo-fi beats
Lea Michele,musicals
Gio Pika,unknown
Nathanael Lloyd,unknown
Migos,trap
Celeste,unknown
lolet,unknown
Various Artists,champeta
Stephen Barton,soundtrack
Dean Martin,christmas
Dance Gavin Dance,post-hardcore
Måneskin,unknown
Danny Paz,unknown
Mujo,lo-fi
Tomy DJ,rkt
Luca Bocci,latin indie
Emily Rubye,unknown
Bad Company,classic rock
Big Time Boys,unknown
The Fleetwoods,doo-wop
Freddie Mercury,unknown
Naeleck,electro house
Tirri La Roca,rkt
Natiruts,reggae
ONEIL,slap house
Relaxing Music Jazz Universe,cool jazz
Mariana Cincunegui,unknown
Waka Flocka Flame,unknown
Sofía Reyes,latin pop
Alex Gargolas,reggaeton
Billie Holiday,jazz
Yandel,reggaeton
Laidback Luke,big room
London Philharmonic Orchestra,classical
Avril Lavigne,unknown
Sam Greenfield,jazz funk
PARTYNEXTDOOR,r&b
The Rebirth,acid jazz
Brian Wider,unknown
Cuco,bedroom pop
Quevedo,unknown
Phoenix,indie
Maggie Lindemann,unknown
Crystal Waters,unknown
Congreso,nueva trova
Marin Hoxha,drift phonk
Jim Morrison,spoken word
MAZLIK,slap house
Robin Thicke,unknown
Rich Brian,unknown
Polimá Westcoast,chilean trap
Magnus Uggla,swedish ballads
AREA21,unknown
Air Supply,soft rock
Pink Floyd Redux,unknown
Demi Lovato,unknown
HYPHN,slap house
NOTSOBAD,slap house
Kid Rock,unknown
Googie Rene,unknown
Seinabo Sey,tropical house
Caleb and Kelsey,worship
Eyedress,unknown
Molly Hatchet,southern rock
Morrissey,britpop
P.U.L.P.O,argentine rock
Los Pamperos,bolero
Belly,unknown
Taburete,unknown
Sean Kingston,unknown
Solange,alternative r&b
Metro Boomin,unknown
Pase Libre,cumbia
Orishas,latin hip hop
Myke Towers,reggaeton
Cameo Culture,unknown
Seguridad Social,rock en español
Angel Canales,salsa
Claude Bolling,ragtime
Jacksepticeye,unknown
Londonbeat,eurodance
Traffic,acid rock
John Frusciante,unknown
Mula B,unknown
Mike WiLL Made-It,unknown
Flies on the Square Egg,unknown
Scott Standley,unknown
Victoria Justice,unknown
Fernsehserien,unknown
Barbarita Palacios,folklore argentino
Los Pequeños Diablos,lullaby
The Bellas,unknown
Sam Feldt,tropical house
Durand Jones & The Indications,retro soul
The Crystals,doo-wop
Iron Butterfly,acid rock
Gael Garcia Bernal,unknown
Dr. Fresch,g-house
Yngwie Malmsteen,neoclassical
Mawi,cumbia
Cochi e Renato,italian singer-songwriter
Hakka Mix,unknown
BM,rkt
MILIKI,lullaby
El Bordo,argentine rock
Los Nocheros,folklore argentino
Travis,britpop
The Cinematic Orchestra,nu jazz
Neon Trees,unknown
Split Enz,new wave
turabisu,unknown
MOTi,big room
Elis Regina,mpb
Eddie Vedder,acoustic rock
Tokyo Ska Paradise Orchestra,ska
Bryant Myers,trap latino
Eleven Fly,unknown
Río Roma,latin pop
La Montra,dembow
James Tucker,unknown
D.O.D,unknown
Mark Lettieri,jazz fusion
Hypaton,unknown
Bruno LC,rkt
DJ JMP,unknown
Atomic Otro Way,dembow
Nas,east coast hip hop
!!!,alternative dance
Gloria Estefan,unknown
Little River Band,soft rock
Daniel Caesar,unknown
Olivia for Now,unknown
Catbamboo,math rock
CZARFACE,unknown
Forever Came Calling,pop punk
Miúcha,bossa nova
Incognito,acid jazz
DVBBS,edm
Soledad,folklore argentino
Enrique Santos Discépolo,tango
Ñejo & Dalmata,reggaeton
mxmtoon,bedroom pop
Fother Muckers,latin indie
Montell Jordan,new jack swing
Silver Maple,unknown
Oscar Aleman,swing music
Jaeden Camstra,lo-fi
Grace Potter,unknown
Jon & Vangelis,symphonic rock
Disclosure,house
Stephen Rennicks,soundtrack
Pedro Infante,mariachi
Hank Levy,jazz
Highup,unknown
HAIM,unknown
Alllittup,unknown
Kochetkovv,unknown
Joy Again,unknown
Alberto Pedraza,cumbia sonidera
