master_metadata_album_artist_name,artist_genre,macro_genre
Los Enanitos Verdes,rock en español,Pop/Rock
Fort Atlantic,unknown,unknown
Villainy,unknown,unknown
Armando Manzanero,bolero,unknown
Os Paralamas Do Sucesso,brazilian rock,Pop/Rock
La Vela Puerca,argentine rock,Pop/Rock
Foghat,classic rock,Pop/Rock
The B-52's,new wave,Pop/Rock
Damas Gratis,cumbia,Regional
Billy Joel,soft rock,Pop/Rock
Divididos,argentine rock,Pop/Rock
Stage Kids,math rock,Pop/Rock
Bruce Springsteen,unknown,unknown
War,unknown,unknown
Arcade Fire,indie rock,Pop/Rock
Madism,tropical house,Electronica
Laura Branigan,unknown,unknown
Cory Wong,jazz funk,Otros
Sam Cooke,motown,unknown
Eurythmics,new wave,Pop/Rock
Vance Joy,folk pop,Pop/Rock
Kidd Keo,trap,Urban
MC Hammer,unknown,unknown
Bee Gees,disco,unknown
Rockwell,unknown,unknown
Los Cafres,spanish-language reggae,unknown
Orianthi,unknown,unknown
Keane,unknown,unknown
Belinda Carlisle,unknown,unknown
Lou Bega,unknown,unknown
Easy Star All-Stars,dub,unknown
Hot Chocolate,unknown,unknown
The Fearless Flyers,jazz funk,Otros
DJ Snake,unknown,unknown
Patricio Rey y sus Redonditos de Ricota,argentine rock,Pop/Rock
Luciano Pereyra,folklore argentino,Otros
Christopher Tyng,unknown,unknown
Hannah Montana,unknown,unknown
Santana,unknown,unknown
Riff,argentine rock,Pop/Rock
Chet Baker,jazz,Otros
Lana Del Rey,unknown,unknown
Major Lazer,moombahton,unknown
Led Zeppelin,classic rock,Pop/Rock
OneRepublic,soft pop,Pop/Rock
Trueno,argentine trap,Urban
Los Auténticos Decadentes,argentine rock,Pop/Rock
Whitesnake,glam metal,unknown
GIT,latin rock,Pop/Rock
Deep Purple,hard rock,Pop/Rock
Vinnie Moore,neoclassical,Otros
Fats Domino,rock and roll,Pop/Rock
Almendra,argentine rock,Pop/Rock
Jack Johnson,surf rock,Pop/Rock
Big One,argentine trap,Urban
Lucas Estrada,tropical house,Electronica
La Franela,argentine rock,Pop/Rock
Sting,soft rock,Pop/Rock
Korn,nu metal,unknown
Los Prisioneros,latin rock,Pop/Rock
Woody Jackson,unknown,unknown
Crispian St. Peters,unknown,unknown
Future,rap,Urban
The Police,unknown,unknown
Marvin Gaye,motown,unknown
Miranda!,latin pop,Pop/Rock
