master_metadata_album_artist_name,artist_genre,macro_genre
Geek Music,anime,Otros
El Retutu,cumbia,Regional
Lady Gaga,art pop,Pop/Rock
Lizzo,unknown,unknown
Ed Motta,mpb,unknown
Bill Conti,unknown,unknown
Chance the Rapper,unknown,unknown
WILLOW,unknown,unknown
Stevie Ray Vaughan,blues,Otros
Aaron Smith,unknown,unknown
Árbol,argentine rock,Pop/Rock
Sérgio Mendes,brazilian jazz,Otros
Limes,lo-fi beats,unknown
Three Dog Night,unknown,unknown
Los Caballeros De La Quema,argentine rock,Pop/Rock
Alessia Cara,unknown,unknown
Perico Hernandez,unknown,unknown
Zac Efron,musicals,unknown
Sajan,unknown,unknown
Melodyia Music,unknown,unknown
Tower Of Power,jazz funk,Otros
Eminem,rap,Urban
Gaelic Storm,celtic,unknown
Shirt,unknown,unknown
MxPx,skate punk,Pop/Rock
Shouse,unknown,unknown
Survivor,unknown,unknown
Beastie Boys,rap rock,Pop/Rock
Ohio Players,soul,Otros
Intoxicados,argentine rock,Pop/Rock
Benja Barceló,unknown,unknown
Vanessa Hudgens,unknown,unknown
Silk City,unknown,unknown
Don Omar,reggaeton,Urban
Sly Stone,northern soul,Otros
Victor Wooten,jazz fusion,Otros
Mandy Moore,unknown,unknown
Steve Miller Band,classic rock,Pop/Rock
Beach House,dream pop,Pop/Rock
The Turtles,unknown,unknown
Roger Waters,progressive rock,Pop/Rock
Plan B,reggaeton,Urban
Pet Shop Boys,synthpop,Pop/Rock
Antonio Rios,cumbia,Regional
Def Leppard,glam metal,unknown
Man Ray,argentine rock,Pop/Rock
Danny Brown,experimental hip hop,Urban
Zafrir,melodic techno,Electronica
Armin van Buuren,trance,Electronica
Richard White,unknown,unknown
Jinsang,lo-fi,unknown
Marco Antonio Solís,grupera,unknown
Glee Cast,christmas,unknown
J Balvin,reggaeton,Urban
Dove Cameron,unknown,unknown
El Apache Ness,cumbia,Regional
Foster The People,unknown,unknown
Huntertones,jazz funk,Otros
Ms Nina,neoperreo,unknown
U.S.A. For Africa,unknown,unknown
Scorpions,hard rock,Pop/Rock
Joey Montana,reggaeton,Urban
J.J. Cale,blues,Otros
Ken Clayton,unknown,unknown
El Cuarteto De Nos,cuarteto,unknown
The White Stripes,garage rock,Pop/Rock
Saib,lo-fi,unknown
Wun Two,lo-fi beats,unknown
Baltimora,italo disco,unknown
Christina Aguilera,unknown,unknown
Micro TDH,unknown,unknown
Kiddtetoon,chilean trap,Urban
Black Eyed Peas,unknown,unknown
Couch,pop soul,Pop/Rock
DaBaby,unknown,unknown
Bon Jovi,glam metal,unknown
Oliver Tree,unknown,unknown
Van Morrison,unknown,unknown
Lasser,acid house,Electronica
Black Pumas,retro soul,Otros
The O'Jays,philly soul,Otros
Delegation,unknown,unknown
George Benson,smooth jazz,Otros
The Spinners,philly soul,Otros
fun.,unknown,unknown
Jacob Sartorius,unknown,unknown
Gema Castaño,unknown,unknown
Dave Koz,unknown,unknown
Stealth,unknown,unknown
Ike & Tina Turner,motown,unknown
Funky Times,jazz funk,Otros
Keyan JRN,unknown,unknown
Iván Cairo,unknown,unknown
Russ,unknown,unknown
GoldLink,unknown,unknown
The Greatest Bits,unknown,unknown
The National,indie rock,Pop/Rock
George Thorogood & The Destroyers,classic rock,Pop/Rock
Megan Thee Stallion,unknown,unknown
Epic Rap Battles of History,comedy,unknown
U-Roy,reggae,unknown
Little Richard,rockabilly,Pop/Rock
Generation X,unknown,unknown
Eric Carmen The Non Binary Sandman,unknown,unknown
Arizona Zervas,unknown,unknown
Aleph-1,glitch,unknown
Arvid Häggström,unknown,unknown
Bad Suns,unknown,unknown
John Lennon,christmas,unknown
El Super Hobby,cumbia,Regional
Tu Papa,cumbia,Regional
Charlton Heston,unknown,unknown
Palo Pandolfo,argentine rock,Pop/Rock
Maia Mitchell,unknown,unknown
M-Clan,unknown,unknown
The Neighbourhood,unknown,unknown
Marvin Berry,unknown,unknown
Supertramp,progressive rock,Pop/Rock
Tom Petty and the Heartbreakers,classic rock,Pop/Rock
Sade,unknown,unknown
Chicago,soft rock,Pop/Rock
Kenny G,smooth jazz,Otros
Perry Como,christmas,unknown
PJ Morton,neo soul,Otros
Steppenwolf,classic rock,Pop/Rock
M83,unknown,unknown
Cristian Castro,latin pop,Pop/Rock
Mart'nália,samba,unknown
Moloko,trip hop,unknown
Vanilla,lo-fi beats,unknown
Bucks Fizz,unknown,unknown
Muse,alternative rock,Pop/Rock
"quickly, quickly",lo-fi,unknown
KALEO,unknown,unknown
Chorus - Hercules,unknown,unknown
aLee DJ,unknown,unknown
bôa,unknown,unknown
Mc Danone,funk de bh,Otros
Andy Williams,christmas,unknown
Zion & Lennox,reggaeton,Urban
Planet or Plastic?,unknown,unknown
Vinícius,bossa nova,unknown
Ski Mask The Slump God,unknown,unknown
Vilma Palma e Vampiros,rock en español,Pop/Rock
ROSE BEAT,unknown,unknown
Carl Douglas,unknown,unknown
Daddy Yankee,reggaeton,Urban
Harmonia & Eno '76,krautrock,Pop/Rock
Ram Jam,southern rock,Pop/Rock
A Flock Of Seagulls,new wave,Pop/Rock
Tim Maia,mpb,unknown
Buddy Guy,blues,Otros
Joan Manuel Serrat,trova,unknown
Enrique Iglesias,latin pop,Pop/Rock
Makano,reggaeton,Urban
The 8-Bit Big Band,big band,unknown
Big Yamo,reggaeton,Urban
Kale “La Evolución”,unknown,unknown
Bob Seger,classic rock,Pop/Rock
Robben,unknown,unknown
Alex Rose,trap latino,Urban
The Kid LAROI,unknown,unknown
MC Fioti,funk,Otros
Fred Mollin and the Blue Sea Band,boogie-woogie,unknown
ELIO,unknown,unknown
Anderson .Paak,unknown,unknown
Giuseppe Verdi,opera,Otros
Billy Cobham,jazz fusion,Otros
Revol,trap latino,Urban
JAY-Z,hip hop,Urban
Kina,unknown,unknown
Linkin Park,nu metal,unknown
Brian Lanzelotta,cumbia,Regional
Conociendo Rusia,latin indie,Pop/Rock
Cory Henry,retro soul,Otros
Count Basie,big band,unknown
Neil Hannon,unknown,unknown
Ases Falsos,latin rock,Pop/Rock
Charles Givings,unknown,unknown
Varra,jazz fusion,Otros
The Internet,alternative r&b,Pop/Rock
Pitbull,unknown,unknown
Sabrepulse,unknown,unknown
4 Non Blondes,unknown,unknown
Alex Zurdo,christian,unknown
Nene Malo,cumbia,Regional
Cindy Bullens,musicals,unknown
Grateful Dead,psychedelic rock,Pop/Rock
Selena Gomez & The Scene,unknown,unknown
Lali,unknown,unknown
A$AP Rocky,rap,Urban
Los Yetis,unknown,unknown
Dalex,reggaeton,Urban
USHER,r&b,Urban
Conan Gray,unknown,unknown
Jaymes Young,unknown,unknown
Richard Coleman,argentine rock,Pop/Rock
Lee Ritenour,smooth jazz,Otros
Mano Arriba,cumbia,Regional
Alexis y Fido,reggaeton,Urban
Wintrz!,unknown,unknown
Gabry Ponte,slap house,Electronica
Jx.Zero,unknown,unknown
Neil Young,classic rock,Pop/Rock
Wu-Tang Clan,east coast hip hop,Urban
Cymande,afrobeat,Urban
Canserbero,latin hip hop,Urban
Vinícius de Moraes,bossa nova,unknown
Mount Royal Orchestra,pirate metal,unknown
Jason Mraz,soft pop,Pop/Rock
Kim Carnes,unknown,unknown
Sofía Gabanna,latin hip hop,Urban
Noisettes,unknown,unknown
Passenger,folk pop,Pop/Rock
The Housemartins,jangle pop,Pop/Rock
Hudson Mohawke,unknown,unknown
Martin Miller,unknown,unknown
Chali 2na,unknown,unknown
Starlight Orchestra,neue deutsche welle,unknown
Coopex,slap house,Electronica
Avalon,psytrance,Electronica
LMFAO,unknown,unknown
Dancing Mood,ska,unknown
Ashley Tisdale,unknown,unknown
Charles Wright & The Watts 103rd Street Rhythm Band,unknown,unknown
Donny Osmond,unknown,unknown
Ray Parker Jr.,unknown,unknown
Chernikovskaya Hata,post-punk,Pop/Rock
Gunna,melodic rap,Urban
Cream,classic rock,Pop/Rock
ECKO,rkt,unknown
Gus Dapperton,bedroom pop,Pop/Rock
pewdiepie,unknown,unknown
Yola,retro soul,Otros
Air,trip hop,unknown
Fobia,rock en español,Pop/Rock
Andy Grammer,unknown,unknown
Jaden,unknown,unknown
Cody Fry,unknown,unknown
Banda Original Columbia,unknown,unknown
Ludwig van Beethoven,classical,Otros
Sonny Rollins,hard bop,unknown
Ariana Grande,pop,Pop/Rock
Marty McFly,unknown,unknown
Dani Cejas,rkt,unknown
Simon & Garfunkel,folk rock,Pop/Rock
DJ MRK,turreo,unknown
Still Woozy,bedroom pop,Pop/Rock
Damián Córdoba,cuarteto,unknown
Wiz Khalifa,rap,Urban
Spice Girls,unknown,unknown
Weld,norwegian pop,Pop/Rock
Antônio Carlos Jobim,bossa nova,unknown
Thundercat,unknown,unknown
Casa De Leones,reggaeton,Urban
Edward Maya,unknown,unknown
((( O ))),unknown,unknown
CoryaYo,jazz rap,Urban
o k h o,lo-fi,unknown
Quincy Jones,soul jazz,Otros
Counting Crows,unknown,unknown
Rosario Serafin,unknown,unknown
George Duke,jazz funk,Otros
Broken Bells,unknown,unknown
Dizzee Rascal,grime,unknown
Alma Bella,unknown,unknown
Starship,unknown,unknown
Giveon,,unknown
Pasandola Bomba,cumbia,Regional
Bobby Womack,soul,Otros
Benzz,uk drill,Urban
The Wonders,unknown,unknown
Chico Buarque,mpb,unknown
"""Weird Al"" Yankovic",comedy,unknown
Jodi Benson,unknown,unknown
Nat King Cole Trio,vocal jazz,Otros
Dickey Betts,southern rock,Pop/Rock
Mark Mendy,unknown,unknown
Becky G,reggaeton,Urban
The Outfield,unknown,unknown
Amar Azul,cumbia,Regional
The Guess Who,classic rock,Pop/Rock
Nick Jonas,unknown,unknown
Steven Universe,unknown,unknown
Maxine Nightingale,unknown,unknown
Indios,latin indie,Pop/Rock
B. E. King,unknown,unknown
C418,unknown,unknown
Bully,unknown,unknown
Loca People,unknown,unknown
Sticky Fingers,surf rock,Pop/Rock
Wisin & Yandel,reggaeton,Urban
Halestorm,unknown,unknown
Dominik Hauser,unknown,unknown
Josh Gad,musicals,unknown
Lalo Ebratt,reggaeton,Urban
Ross Lynch,unknown,unknown
Kinder Malo,unknown,unknown
Kupla,lo-fi,unknown
Elia y Elizabeth,unknown,unknown
Jeff Beck,jazz fusion,Otros
Danny DeVito,unknown,unknown
Dj Panda Boladao,phonk,unknown
OMI,unknown,unknown
Tinariwen,gnawa,unknown
Memphis La Blusera,argentine rock,Pop/Rock
Village People,disco,unknown
PNAU,unknown,unknown
The Barden Bellas,unknown,unknown
MC Pat Flynn,unknown,unknown
F.R. David,unknown,unknown
Ugly Kid Joe,glam metal,unknown
Ango,hard house,Electronica
Marcus Miller,jazz fusion,Otros
C.R.O,argentine trap,Urban
Black Box,eurodance,unknown
Kevin Johansen,latin folk,Regional
Melo.Kids,unknown,unknown
Texas,unknown,unknown
Megadeth,thrash metal,unknown
The Wallflowers,unknown,unknown
DragonForce,power metal,unknown
Girl Talk,unknown,unknown
Lady Wray,retro soul,Otros
Commodores,motown,unknown
Sael,urbano latino,Regional
Raphael Saadiq,neo soul,Otros
Volt Boy,unknown,unknown
ABC,new wave,Pop/Rock
Hans Zimmer,soundtrack,unknown
When In Rome,new wave,Pop/Rock
Quiet Riot,glam metal,unknown
The Five Stairsteps,unknown,unknown
24kGoldn,unknown,unknown
STRFKR,unknown,unknown
Rob Base & DJ EZ Rock,hip house,Electronica
Danny Wilson,unknown,unknown
Dusty Springfield,unknown,unknown
Handsome Boy Modeling School,trip hop,unknown
UB40,reggae,unknown
B.o.B,unknown,unknown
Bronski Beat,synthpop,Pop/Rock
Tom Walker,unknown,unknown
Cutting Crew,unknown,unknown
Traumton,lounge,unknown
MC Kevinho,funk,Otros
Angelica Vale,unknown,unknown
Los Totora,cumbia,Regional
El Italiano,argentine trap,Urban
De La Ghetto,reggaeton,Urban
Flo Rida,unknown,unknown
Nick Johnston,djent,unknown
Illya Kuryaki & The Valderramas,rock en español,Pop/Rock
Tomas Chris,indie rock,Pop/Rock
The Soul Sensation,unknown,unknown
Tommy Tutone,unknown,unknown
EMF,madchester,unknown
Ne-Yo,unknown,unknown
The Communards,hi-nrg,unknown
ScHoolboy Q,unknown,unknown
Neil Zaza,unknown,unknown
D-Enyel,reggaeton,Urban
Rels B,urbano latino,Regional
Arthur Conley,northern soul,Otros
Locura Mix,rkt,unknown
The Pioneers,rocksteady,Pop/Rock
BENEE,unknown,unknown
The Jamaican Reggae Boys,unknown,unknown
Cruzando El Charco,argentine rock,Pop/Rock
Kempi,unknown,unknown
Disney Kids Band,unknown,unknown
DJ Yayo,rkt,unknown
Pappo's Blues,argentine rock,Pop/Rock
Carlos Rivera,latin pop,Pop/Rock
MC's Jhowzinho & Kadinho,funk,Otros
David Lee Roth,glam metal,unknown
Mala Rodríguez,latin hip hop,Urban
Edward Elgar,classical,Otros
The Contours,motown,unknown
El Gran Silencio,rock en español,Pop/Rock
Grupo Play,cumbia,Regional
Claire Rosinkranz,unknown,unknown
RuthAnne,unknown,unknown
Rauw Alejandro,reggaeton,Urban
Old Man Saxon,unknown,unknown
King's X,funk rock,Pop/Rock
Roxy Music,glam rock,Pop/Rock
The Presidents Of The United States Of America,grunge,Pop/Rock
Billy Eichner,unknown,unknown
Screen Jazzmaster,lo-fi beats,unknown
Jim Horn,unknown,unknown
Mary Costa,unknown,unknown
Zara Larsson,unknown,unknown
Grand Funk Railroad,classic rock,Pop/Rock
LIT killah,argentine trap,Urban
Lee Morgan,hard bop,unknown
Roger Bart,unknown,unknown
Nico & Vinz,unknown,unknown
Cher,unknown,unknown
Cavetown,bedroom pop,Pop/Rock
Fastball,unknown,unknown
Vitamin String Quartet,orchestra,unknown
LUM!X,slap house,Electronica
Level 42,synthpop,Pop/Rock
SZA,r&b,Urban
The Band,folk rock,Pop/Rock
Macklemore,unknown,unknown
Tokischa,dembow,unknown
Urge Overkill,unknown,unknown
De Jeugd Van Tegenwoordig,nederpop,Pop/Rock
Sofi de la Torre,unknown,unknown
Los Dug Dug's,mexican rock,Pop/Rock
New Order,new wave,Pop/Rock
Jonah Nilsson,unknown,unknown
Los Nemus Del Pacifico,salsa,unknown
BJ The Chicago Kid,neo soul,Otros
Wild Cherry,unknown,unknown
Lucky Luciano,latin hip hop,Urban
K'NAAN,unknown,unknown
Gilberto Gil,mpb,unknown
Robin Schulz,tropical house,Electronica
Chico Rose,slap house,Electronica
Oscar D'León,salsa,unknown
Joe Cocker,unknown,unknown
The Lost Fingers,swing music,unknown
The Romantics,power pop,Pop/Rock
Racer X,speed metal,unknown
Nonpalidece,spanish-language reggae,unknown
Alicia Keys,r&b,Urban
Dj Lauuh,rkt,unknown
ZZ Top,southern rock,Pop/Rock
Viejas Locas,argentine rock,Pop/Rock
Ulises Bueno,cuarteto,unknown
Super Yei,reggaeton,Urban
NAFTA,unknown,unknown
DJ Top Gun,unknown,unknown
Phay,unknown,unknown
Danny Ocean,reggaeton,Urban
The Gregg Allman Band,southern rock,Pop/Rock
DJ Luc14no Antileo,rkt,unknown
Kristofer Maddigan,soundtrack,unknown
The Bar-Kays,funk,Otros
Ivan Noble,argentine rock,Pop/Rock
KEVIN ROLDAN,reggaeton,Urban
The Lonely Island,comedy,unknown
Los Gatos,argentine rock,Pop/Rock
Funkadelic,funk rock,Pop/Rock
Coti,argentine rock,Pop/Rock
John Paesano,soundtrack,unknown
KAROL G,reggaeton,Urban
Bakar,unknown,unknown
Swedish House Mafia,edm,Electronica
Plini,djent,unknown
Fandom,unknown,unknown
Litto Nebbia,argentine rock,Pop/Rock
TV Theme Song Library,unknown,unknown
Sonido De La Costa,cumbia,Regional
Orquesta Ritmo De Sabanas,unknown,unknown
Gal Costa,mpb,unknown
[bsd.u],lo-fi,unknown
Free Nationals,unknown,unknown
Louis Tomlinson,unknown,unknown
Pimp Flaco,unknown,unknown
NATTI NATASHA,reggaeton,Urban
James Marsden,musicals,unknown
eery,lo-fi,unknown
Steve Petrunak,unknown,unknown
Peter Frampton,classic rock,Pop/Rock
Shotgun Willy,meme rap,Urban
Los Bunkers,latin rock,Pop/Rock
to-be,unknown,unknown
Backstreet Boys,unknown,unknown
The Surrealist,math rock,Pop/Rock
Pete Rodriguez,cha cha cha,unknown
TheFatRat,unknown,unknown
eevee,lo-fi,unknown
Don Osvaldo,argentine rock,Pop/Rock
Clairo,bedroom pop,Pop/Rock
King Crimson,progressive rock,Pop/Rock
Charly García & The Prostitution,unknown,unknown
standards,math rock,Pop/Rock
Reykon,reggaeton,Urban
King Kobra,album rock,Pop/Rock
Olly Murs,unknown,unknown
Tchakabum,axé,Regional
Bob Dylan,folk rock,Pop/Rock
Shakira,latin pop,Pop/Rock
The Fray,unknown,unknown
Young Martino,trap latino,Urban
Ricky Martin,latin pop,Pop/Rock
Peter Tosh,reggae,unknown
Los Latinos,unknown,unknown
Darell,reggaeton,Urban
Selena Gomez,pop,Pop/Rock
2CELLOS,unknown,unknown
The Last Shadow Puppets,baroque pop,Pop/Rock
Hippo Campus,unknown,unknown
Ryan,unknown,unknown
Axel Black & White,unknown,unknown
No Doubt,unknown,unknown
Klezmer Music,unknown,unknown
Arcángel,reggaeton,Urban
Blood Orange,art pop,Pop/Rock
Kim Wilde,unknown,unknown
Joel Corry,dance pop,Pop/Rock
Sushisingz,unknown,unknown
ACRAZE,tech house,Electronica
Django Reinhardt,swing music,unknown
Tony Dize,reggaeton,Urban
The Moody Blues,progressive rock,Pop/Rock
The Crimson Big Movie Orchestra,unknown,unknown
ROSALÍA,latin,Regional
Lea Salonga,unknown,unknown
Nena,neue deutsche welle,unknown
Jennifer Lopez,unknown,unknown
DEVO,new wave,Pop/Rock
Mariah Carey,christmas,unknown
Joe Walsh,classic rock,Pop/Rock
Dabeull,nu disco,unknown
Band Of One,unknown,unknown
Los Musiqueros,lullaby,unknown
C. Tangana,unknown,unknown
Kali Uchis,unknown,unknown
Rainy Mood,unknown,unknown
Wet Wet Wet,unknown,unknown
La 25,argentine rock,Pop/Rock
Dame 5,cumbia,Regional
Logic,unknown,unknown
Luck Ra,cuarteto,unknown
Nappy Roots,southern hip hop,Urban
Simply Red,unknown,unknown
Disturbing Tha Peace,unknown,unknown
Jerry Herman,musicals,unknown
Barry White,disco,unknown
Jósean Log,mexican indie,Pop/Rock
Nathan Lane,unknown,unknown
Motörhead,heavy metal,unknown
My Chemical Romance,emo,Pop/Rock
Poolside,nu disco,unknown
Athletic Progression,nu jazz,Otros
Shawn Lane,jazz fusion,Otros
Los Claxons,unknown,unknown
Modjo,french house,Electronica
Zato DJ,turreo,unknown
Muddy Waters,blues,Otros
Bobby McFerrin,unknown,unknown
NIVEK,hypertechno,Electronica
Israel Kamakawiwo'ole,unknown,unknown
Agapornis,cumbia,Regional
Roberto Goyeneche,tango,Regional
Nara Leão,bossa nova,unknown
Rex Orange County,bedroom pop,Pop/Rock
Mario,r&b,Urban
Julio Sosa,tango,Regional
Keith David,unknown,unknown
Sonic Scenario,unknown,unknown
Herbie Hancock,jazz,Otros
Predu2k,unknown,unknown
Philip Glass,minimalism,unknown
glophia,unknown,unknown
Shaun Martin,jazz fusion,Otros
Gnarls Barkley,unknown,unknown
The Brothers Johnson,disco,unknown
Oingo Boingo,new wave,Pop/Rock
Peteco Carabajal,folklore argentino,Otros
Earthquake Lights,unknown,unknown
James Monroe Iglehart,musicals,unknown
blameF,unknown,unknown
Dmitri Shostakovich,classical,Otros
Smino,unknown,unknown
Celeste Carballo,argentine rock,Pop/Rock
Blake Mills,unknown,unknown
Abril Chiro,unknown,unknown
Tavares,disco,unknown
Culture Club,unknown,unknown
Bryan Ferry,glam rock,Pop/Rock
Aloe Blacc,unknown,unknown
Taiu,argentine trap,Urban
Grupo Niche,salsa,unknown
Haddaway,eurodance,unknown
The Offspring,punk,Pop/Rock
Dizzy Gillespie Quintet,bebop,unknown
James Brown & The Famous Flames,unknown,unknown
Denzel Curry,punk rap,Pop/Rock
Kraak & Smaak,nu disco,unknown
Mueka,trap latino,Urban
Pedro Capó,latin pop,Pop/Rock
Geto Boys,southern hip hop,Urban
Big Mountain,reggae,unknown
Dr. Hook,unknown,unknown
SoulChef,jazz rap,Urban
Live,post-grunge,Pop/Rock
Los Leyenda Valdés,cumbia,Regional
Sech,reggaeton,Urban
Yo Gotti,memphis rap,Urban
Whethan,unknown,unknown
Pregnant Boy,unknown,unknown
Jonathan Ansell,unknown,unknown
Nohidea,lo-fi,unknown
Scott Walker,baroque pop,Pop/Rock
Joni Mitchell,folk,Otros
Sarah McLachlan,unknown,unknown
JID,unknown,unknown
Buknas De Culiacan,corrido,unknown
MC's Zaac,funk,Otros
Fools Garden,unknown,unknown
KHEA,argentine trap,Urban
Fran Argiro,unknown,unknown
lilac frog,unknown,unknown
Carlitos Rossy,reggaeton,Urban
System Of A Down,nu metal,unknown
Don McLean,unknown,unknown
Ditter,unknown,unknown
London Voices,unknown,unknown
The Whitest Boy Alive,unknown,unknown
The Staple Singers,soul,Otros
Kelly Valleau,unknown,unknown
The Aristocrats,jazz fusion,Otros
The Script,unknown,unknown
Carlos Gardel,tango,Regional
L.A. Guns,glam metal,unknown
Michelle Pfeiffer,musicals,unknown
Pyotr Ilyich Tchaikovsky,classical,Otros
GAYLE,unknown,unknown
Tom Petty,classic rock,Pop/Rock
BØRNS,unknown,unknown
Michael Amani,unknown,unknown
Carlos Baute,latin pop,Pop/Rock
Brother Strut,jazz funk,Otros
Residente,latin hip hop,Urban
Maria Becerra,argentine trap,Urban
SR,uk drill,Urban
Damian Oliver,unknown,unknown
Perotá Chingó,latin folk,Regional
DMX,east coast hip hop,Urban
Drew Seeley,unknown,unknown
Justin Quiles,reggaeton,Urban
Accept,heavy metal,unknown
Gipsy Kings,flamenco,unknown
Don Patricio,unknown,unknown
elinex,unknown,unknown
M|O|O|N,synthwave,Electronica
Bacilos,colombian pop,Pop/Rock
The Magic Gang,unknown,unknown
Phillip Phillips,folk pop,Pop/Rock
Serengeti,experimental hip hop,Urban
MARINA,unknown,unknown
Cyndi Lauper,unknown,unknown
León Gieco,argentine rock,Pop/Rock
CORBAL,unknown,unknown
Rag'n'Bone Man,unknown,unknown
La Máquina Disco,unknown,unknown
Tundra Beats,lo-fi beats,unknown
Syd Barrett,psychedelic rock,Pop/Rock
Onur Atli,unknown,unknown
Mercedes Sosa,trova,unknown
Fms Arg,unknown,unknown
Vox Dei,argentine rock,Pop/Rock
Busta Rhymes,east coast hip hop,Urban
Billy Boyd,unknown,unknown
Minutemen,post-punk,Pop/Rock
Ayo & Teo,unknown,unknown
DJMashup,unknown,unknown
LOAN,unknown,unknown
Peabo Bryson,quiet storm,unknown
Edwin Starr,northern soul,Otros
Don Toliver,unknown,unknown
Keith Jarrett,jazz,Otros
Benny Golson,hard bop,unknown
Fifth Harmony,unknown,unknown
Fella,slap house,Electronica
Cardi B,unknown,unknown
Liam Payne,unknown,unknown
The Frondeurs,space rock,Pop/Rock
Cheap Trick,power pop,Pop/Rock
Joji,unknown,unknown
Rodney Atkins,country,Otros
Sports,unknown,unknown
Sharon Jones & The Dap-Kings,retro soul,Otros
Lee Fields & The Expressions,retro soul,Otros
The Avalanches,unknown,unknown
Heart,classic rock,Pop/Rock
Baby Rasta & Gringo,,unknown
Juan Gabriel,mariachi,unknown
Starley,unknown,unknown
Wings,unknown,unknown
Saxon,heavy metal,unknown
David Ryan Harris,unknown,unknown
Sammy & Falsetto,reggaeton,Urban
Aluna,unknown,unknown
Chapa C,reggaeton,Urban
Wham!,christmas,unknown
Johnny Maestro & Brooklyn Bridge,doo-wop,unknown
BROCKHAMPTON,unknown,unknown
John Lee Hooker,blues,Otros
Bandalos Chinos,latin indie,Pop/Rock
Phantogram,unknown,unknown
El Kuelgue,argentine rock,Pop/Rock
Joe Jackson,new wave,Pop/Rock
Miranda Cosgrove,unknown,unknown
Alex Aster,unknown,unknown
Pop Star,unknown,unknown
B.B. King,blues,Otros
Loi,unknown,unknown
Hampton Hawes Trio,hard bop,unknown
Klangkarussell,unknown,unknown
Unknown Mortal Orchestra,psychedelic pop,Pop/Rock
Rainbow,hard rock,Pop/Rock
Kota the Friend,unknown,unknown
Ricky Montgomery,unknown,unknown
Ron Grainer,unknown,unknown
John Mellencamp,classic rock,Pop/Rock
Tujamo,unknown,unknown
Naughty Boy,unknown,unknown
Jethro Tull,progressive rock,Pop/Rock
Mitski,unknown,unknown
The Fanatics,unknown,unknown
Los Amigos Invisibles,rock en español,Pop/Rock
Theo Katzman,retro soul,Otros
Feid,reggaeton,Urban
The Zutons,unknown,unknown
Yann Tiersen,unknown,unknown
MC L da Vinte,funk de bh,Otros
La Champions Liga,cumbia,Regional
Oscu,argentine trap,Urban
Tomi DJ,rkt,unknown
 VK Blanka,,unknown
Hozier,unknown,unknown
Vangelis,new age,unknown
Richard M. Sherman,unknown,unknown
El Polaco,cumbia,Regional
Imanbek,slap house,Electronica
Anita Ward,disco,unknown
Pentatonix,christmas,unknown
Victoria Beckham,uk garage,unknown
Troye Sivan,unknown,unknown
Boz Scaggs,album rock,Pop/Rock
Willie Nelson,country,Otros
PANKIDZ,hypertechno,Electronica
Poylow,slap house,Electronica
bbno$,meme rap,Urban
Manu Chao,latin alternative,Pop/Rock
Michael Bublé,christmas,unknown
Mick Jenkins,jazz rap,Urban
Jack Stauber's Micropop,unknown,unknown
Charli XCX,,unknown
Diana Ross,motown,unknown
Bassnectar,dubstep,unknown
Deyco,unknown,unknown
Manuel Wirzt,argentine rock,Pop/Rock
James Gang,classic rock,Pop/Rock
Michael Schenker Group,hard rock,Pop/Rock
Corbin Bleu,unknown,unknown
Gym Class Heroes,unknown,unknown
MC G15,funk,Otros
Free,classic rock,Pop/Rock
Ziggy Marley & The Melody Makers,reggae,unknown
1915,latin indie,Pop/Rock
Weste,latin indie,Pop/Rock
Milo j,argentine trap,Urban
Rick and Morty,unknown,unknown
TOBACCO,experimental hip hop,Urban
Julieta Venegas,latin pop,Pop/Rock
Stevie Nicks,unknown,unknown
Mumford & Sons,folk,Otros
La Nueva Luna,cumbia,Regional
Michael Brecker,jazz,Otros
98º,unknown,unknown
Robin Williams,comedy,unknown
Guasones,argentine rock,Pop/Rock
John Popper & The Duskray Troubadours,classic blues,Otros
Pantera,groove metal,unknown
ASKØ,unknown,unknown
Jorge Drexler,trova,unknown
Omara Portuondo,son cubano,unknown
Ty Dolla $ign,unknown,unknown
Joseph Trapanese,soundtrack,unknown
Simple Minds,new wave,Pop/Rock
Trinix,unknown,unknown
Callejero Fino,rkt,unknown
Edmundo Rivero,tango,Regional
Heatwave,disco,unknown
Raquel Rodriguez,neo soul,Otros
Jewel,unknown,unknown
Traveling Wilburys,unknown,unknown
Reggaeton Latino,reggaeton,Urban
Erroll Garner,jazz,Otros
BURNS,unknown,unknown
Psirico,pagode baiano,unknown
Ludwig Göransson,soundtrack,unknown
Gusttavo Lima,sertanejo,unknown
Chiqui Chiquititos,unknown,unknown
Crewrod,latin alternative,Pop/Rock
D'Angelo,neo soul,Otros
Leila Martin,christmas,unknown
Gesaffelstein,unknown,unknown
Mesita,rkt,unknown
Jonas Brothers,unknown,unknown
MadeinTYO,unknown,unknown
JESSIA,unknown,unknown
疗愈音律,unknown,unknown
Chick Corea Elektric Band,jazz fusion,Otros
Carly Rae Jepsen,unknown,unknown
Kodak Black,unknown,unknown
Justo Antes de la Guerra con los Esquimales,latin indie,Pop/Rock
Triple M,future house,Electronica
Iggy Pop,proto-punk,Pop/Rock
Lil Boom,meme rap,Urban
Lauv,unknown,unknown
Lé Mon,lo-fi beats,unknown
jxdn,pop punk,Pop/Rock
"Spinetta, García, Ferrón",argentine rock,Pop/Rock
Marcianos Crew,argentine trap,Urban
Samuel Kim,anime,Otros
dodie,unknown,unknown
Powfu,unknown,unknown
Shakka,unknown,unknown
Curren$y,southern hip hop,Urban
